wbgt,continuous_exposure_minutes,next_travel_minutes,time_since_rest_minutes,cooling_spot_distance_m,heat_risk_score,risk_level,rest_status
29.02,15.83,41.28,121.96,522.15,72.09,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.83,74.77,23.15,97.97,1424.12,63.44,REST_RECOMMENDED,REST_RECOMMENDED
17.31,100.23,47.95,26.83,620.33,35.0,CAUTION,MOVABLE
21.0,52.05,29.39,86.69,1810.33,35.55,CAUTION,MOVABLE
22.46,107.08,40.21,149.17,1124.83,62.13,REST_RECOMMENDED,REST_RECOMMENDED
31.5,121.06,33.91,54.67,2313.45,95.17,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.29,81.69,17.92,69.02,799.85,77.32,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
19.31,121.99,10.69,151.93,382.42,41.33,CAUTION,REST_RECOMMENDED
24.3,131.43,10.11,167.02,668.35,64.23,REST_RECOMMENDED,REST_RECOMMENDED
33.4,95.9,30.38,29.92,2087.98,92.06,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
25.97,10.9,49.52,93.05,47.41,52.83,REST_RECOMMENDED,REST_RECOMMENDED
28.34,50.68,19.54,42.17,1508.82,67.74,REST_RECOMMENDED,REST_RECOMMENDED
28.44,114.36,9.09,126.93,1725.79,87.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
27.94,52.21,28.66,35.94,1495.53,56.59,REST_RECOMMENDED,REST_RECOMMENDED
24.06,18.66,24.36,60.61,1350.3,38.11,CAUTION,MOVABLE
19.2,20.84,38.96,105.74,522.31,22.41,LOW,MOVABLE
28.96,84.35,46.21,73.25,1670.99,89.76,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
29.47,104.91,41.03,86.94,1542.55,96.9,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
19.81,15.75,34.71,129.84,1820.29,23.81,LOW,MOVABLE
32.96,49.16,7.79,74.2,485.8,64.0,REST_RECOMMENDED,REST_RECOMMENDED
16.06,65.47,9.48,39.3,668.54,22.49,LOW,MOVABLE
16.52,76.33,22.1,106.84,99.21,37.19,CAUTION,MOVABLE
19.36,29.74,21.0,134.11,375.32,21.24,LOW,MOVABLE
23.07,107.65,23.78,18.24,427.82,51.0,REST_RECOMMENDED,REST_RECOMMENDED
26.02,55.12,42.43,62.63,1407.58,64.03,REST_RECOMMENDED,REST_RECOMMENDED
24.67,81.57,27.13,115.04,901.31,56.11,REST_RECOMMENDED,REST_RECOMMENDED
25.92,96.76,11.65,121.49,1360.64,78.77,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.07,71.37,22.53,70.32,529.21,52.85,REST_RECOMMENDED,REST_RECOMMENDED
32.03,69.01,40.43,69.54,745.37,92.13,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
22.52,90.71,22.82,50.75,254.81,44.52,CAUTION,REST_RECOMMENDED
24.01,14.99,5.01,82.48,273.7,24.0,LOW,MOVABLE
20.25,12.86,4.19,55.81,1248.07,10.1,LOW,MOVABLE
25.47,87.42,15.85,51.73,1477.25,64.27,REST_RECOMMENDED,REST_RECOMMENDED
30.45,100.81,40.52,149.81,1046.41,97.88,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
32.89,123.21,7.93,63.25,380.42,83.68,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.75,77.72,9.96,124.23,1149.93,68.05,REST_RECOMMENDED,REST_RECOMMENDED
26.68,96.68,13.29,124.29,1511.48,75.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.59,150.18,7.74,107.15,1313.12,61.56,REST_RECOMMENDED,REST_RECOMMENDED
27.89,79.55,39.97,14.15,87.89,60.88,REST_RECOMMENDED,REST_RECOMMENDED
22.45,91.5,20.66,87.98,548.04,49.0,CAUTION,REST_RECOMMENDED
27.84,130.02,27.03,30.63,1178.89,75.32,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
25.5,107.56,16.03,34.99,605.2,66.15,REST_RECOMMENDED,REST_RECOMMENDED
27.43,44.2,33.4,40.85,418.89,62.11,REST_RECOMMENDED,REST_RECOMMENDED
31.22,101.52,6.96,106.43,774.29,88.82,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
19.72,88.33,39.35,124.89,396.31,41.3,CAUTION,REST_RECOMMENDED
26.5,22.84,24.29,47.89,289.03,42.0,CAUTION,REST_RECOMMENDED
24.88,80.3,28.02,125.46,1368.48,58.95,REST_RECOMMENDED,REST_RECOMMENDED
27.18,91.93,29.54,121.96,199.95,80.85,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.36,65.95,12.86,8.1,1188.87,57.0,REST_RECOMMENDED,REST_RECOMMENDED
27.08,60.56,50.26,131.36,652.3,78.23,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
30.85,60.55,23.45,24.52,314.66,73.77,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
32.05,36.86,41.13,39.25,851.01,73.34,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.96,57.25,20.67,38.19,618.42,38.28,CAUTION,MOVABLE
21.47,44.3,48.2,17.25,1043.43,34.53,CAUTION,MOVABLE
18.58,93.39,42.67,32.5,324.67,40.76,CAUTION,REST_RECOMMENDED
32.85,51.27,41.08,117.87,1384.61,84.78,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
20.73,63.74,22.69,18.63,962.36,24.0,LOW,MOVABLE
24.09,24.31,23.1,109.38,318.86,41.79,CAUTION,REST_RECOMMENDED
25.2,64.12,27.86,27.2,1483.27,61.0,REST_RECOMMENDED,REST_RECOMMENDED
22.08,84.24,15.18,71.82,1191.92,43.9,CAUTION,REST_RECOMMENDED
25.12,43.84,14.67,88.2,1891.49,61.37,REST_RECOMMENDED,REST_RECOMMENDED
32.37,107.75,21.27,111.26,1807.28,95.28,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
16.0,38.58,23.24,44.46,744.97,21.48,LOW,MOVABLE
21.95,109.54,15.43,88.55,512.27,47.2,CAUTION,REST_RECOMMENDED
22.87,169.72,40.08,144.87,561.29,55.0,REST_RECOMMENDED,REST_RECOMMENDED
28.27,66.01,19.03,99.17,907.66,85.47,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
19.68,118.6,16.29,101.83,754.98,39.73,CAUTION,REST_RECOMMENDED
24.09,64.48,37.17,116.3,219.84,56.46,REST_RECOMMENDED,REST_RECOMMENDED
21.96,70.14,38.63,12.34,1086.05,45.18,CAUTION,REST_RECOMMENDED
26.24,82.24,6.53,112.73,485.33,63.37,REST_RECOMMENDED,REST_RECOMMENDED
23.53,77.72,32.8,124.59,1144.25,62.36,REST_RECOMMENDED,REST_RECOMMENDED
20.87,106.86,10.45,100.27,2050.35,49.16,CAUTION,REST_RECOMMENDED
29.38,103.78,22.42,64.01,872.66,94.27,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
30.47,110.01,10.95,64.84,495.66,88.68,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
27.75,66.22,41.78,121.03,841.67,74.69,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
32.44,48.53,17.75,99.13,1474.17,77.92,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
22.06,95.49,41.46,97.26,739.52,61.16,REST_RECOMMENDED,REST_RECOMMENDED
27.78,95.69,37.72,105.59,1944.51,84.96,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
22.33,41.18,8.66,78.19,872.61,25.0,LOW,MOVABLE
28.8,69.09,36.69,55.23,1561.34,86.31,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
26.01,77.65,8.37,106.48,275.54,64.6,REST_RECOMMENDED,REST_RECOMMENDED
28.56,60.55,35.74,118.57,1282.38,90.78,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.28,104.82,32.38,104.67,575.21,47.1,CAUTION,REST_RECOMMENDED
29.81,123.97,10.11,79.68,623.8,85.62,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
32.16,138.32,8.69,105.2,139.16,87.56,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
16.16,62.06,31.85,74.39,953.36,35.94,CAUTION,MOVABLE
17.55,34.97,7.84,46.19,2095.46,14.75,LOW,MOVABLE
30.44,9.99,23.56,158.49,1306.79,71.02,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.16,19.21,13.34,48.19,1666.49,33.01,CAUTION,MOVABLE
24.71,32.6,36.89,133.48,749.94,53.42,REST_RECOMMENDED,REST_RECOMMENDED
18.4,49.19,3.97,107.44,282.16,19.1,LOW,MOVABLE
25.2,101.24,7.99,105.61,528.91,72.72,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.87,37.24,15.1,43.0,576.68,50.27,REST_RECOMMENDED,REST_RECOMMENDED
30.78,88.14,31.24,79.53,1191.26,89.44,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
33.59,135.98,23.4,68.57,638.62,91.72,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
18.19,92.35,33.51,38.87,1045.25,45.6,CAUTION,REST_RECOMMENDED
23.85,54.98,51.59,83.86,1985.29,52.3,REST_RECOMMENDED,REST_RECOMMENDED
26.52,42.71,22.68,109.25,416.13,64.0,REST_RECOMMENDED,REST_RECOMMENDED
26.93,33.68,19.22,95.35,272.69,61.45,REST_RECOMMENDED,REST_RECOMMENDED
28.22,96.23,46.18,115.2,521.34,100.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
23.84,53.56,40.26,53.62,1041.45,47.27,CAUTION,REST_RECOMMENDED
22.66,119.88,7.24,134.82,1077.42,51.17,REST_RECOMMENDED,REST_RECOMMENDED
23.01,60.21,34.29,60.13,2578.17,61.34,REST_RECOMMENDED,REST_RECOMMENDED
18.99,86.11,31.42,73.15,705.14,42.13,CAUTION,REST_RECOMMENDED
21.9,39.19,32.64,46.61,448.12,31.48,CAUTION,MOVABLE
25.79,104.8,3.3,16.54,1224.04,63.42,REST_RECOMMENDED,REST_RECOMMENDED
31.86,111.16,30.97,107.73,408.64,95.76,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.1,32.16,36.28,23.7,586.72,74.82,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
31.54,102.68,20.74,52.87,1845.18,94.74,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
22.19,64.38,8.41,105.96,1593.63,40.4,CAUTION,REST_RECOMMENDED
24.55,103.51,11.52,49.11,857.02,54.51,REST_RECOMMENDED,REST_RECOMMENDED
31.24,13.06,7.71,13.36,1204.65,60.63,REST_RECOMMENDED,REST_RECOMMENDED
33.24,59.54,37.94,17.67,778.25,72.14,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.98,53.58,8.74,68.67,644.6,53.23,REST_RECOMMENDED,REST_RECOMMENDED
20.18,47.02,34.38,48.3,487.3,26.53,LOW,MOVABLE
24.94,45.18,26.53,130.3,1849.74,48.55,CAUTION,REST_RECOMMENDED
24.8,19.42,16.16,123.47,1012.94,44.99,CAUTION,REST_RECOMMENDED
28.52,142.99,26.64,109.19,1159.36,100.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.17,74.35,6.21,160.45,1431.37,79.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
25.14,110.08,4.98,36.79,1604.38,65.39,REST_RECOMMENDED,REST_RECOMMENDED
32.56,86.11,16.77,64.87,290.05,76.25,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
31.65,93.83,25.16,68.73,1294.64,91.84,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.98,107.55,30.23,70.68,395.57,91.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.62,115.56,17.99,66.93,499.47,34.0,CAUTION,MOVABLE
28.43,103.63,21.46,21.72,2024.93,85.9,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
18.9,103.91,3.72,101.15,1199.33,38.52,CAUTION,MOVABLE
21.69,60.8,24.32,155.98,2153.79,52.62,REST_RECOMMENDED,REST_RECOMMENDED
31.84,71.96,13.35,126.71,1476.78,88.1,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.99,84.33,50.35,24.34,670.68,30.33,CAUTION,MOVABLE
20.2,38.67,19.63,47.41,1357.28,19.19,LOW,MOVABLE
30.38,25.12,44.95,101.8,2196.13,72.81,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.09,10.23,16.77,83.14,932.61,35.71,CAUTION,MOVABLE
21.28,50.83,29.95,58.06,326.53,27.0,LOW,MOVABLE
22.66,86.27,7.98,43.77,358.74,31.34,CAUTION,MOVABLE
31.23,64.68,12.74,136.47,1623.52,82.94,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
18.41,81.43,24.39,84.51,832.42,41.89,CAUTION,REST_RECOMMENDED
32.07,68.83,41.16,94.31,343.98,89.82,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.64,57.61,15.02,117.5,1607.67,81.05,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.79,74.57,19.62,79.58,528.97,50.98,REST_RECOMMENDED,REST_RECOMMENDED
22.12,54.81,23.15,117.16,380.82,40.13,CAUTION,REST_RECOMMENDED
20.21,29.65,31.03,165.53,331.08,22.21,LOW,MOVABLE
33.75,116.36,23.88,84.4,736.94,90.33,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.93,43.2,11.68,51.6,120.26,11.0,LOW,MOVABLE
19.66,60.62,42.77,53.75,1160.11,32.0,CAUTION,MOVABLE
26.4,126.95,1.29,152.63,411.43,73.31,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
33.11,60.02,51.72,112.55,55.53,93.84,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.88,89.76,26.18,23.27,942.47,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
20.54,33.08,49.51,89.63,207.74,23.86,LOW,MOVABLE
24.1,121.06,27.68,122.63,762.75,67.67,REST_RECOMMENDED,REST_RECOMMENDED
17.65,62.95,43.92,61.09,1196.62,38.65,CAUTION,MOVABLE
19.96,70.5,51.75,29.61,606.75,34.8,CAUTION,MOVABLE
26.91,37.79,26.06,76.45,611.56,62.17,REST_RECOMMENDED,REST_RECOMMENDED
26.43,33.57,33.66,48.04,738.14,56.0,REST_RECOMMENDED,REST_RECOMMENDED
17.15,24.43,36.79,92.34,1263.03,25.2,LOW,MOVABLE
26.42,57.51,19.46,58.25,2035.87,56.52,REST_RECOMMENDED,REST_RECOMMENDED
20.93,124.35,34.63,122.48,286.89,45.21,CAUTION,REST_RECOMMENDED
20.12,130.91,24.93,84.87,907.06,43.67,CAUTION,REST_RECOMMENDED
25.44,134.58,48.71,82.67,1398.11,80.46,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.18,66.13,28.67,134.0,512.97,60.14,REST_RECOMMENDED,REST_RECOMMENDED
33.21,26.68,16.09,138.06,1277.54,66.39,REST_RECOMMENDED,REST_RECOMMENDED
25.3,58.78,27.37,125.34,698.12,60.0,REST_RECOMMENDED,REST_RECOMMENDED
21.05,25.88,48.04,42.04,1263.79,25.24,LOW,MOVABLE
29.77,72.57,11.54,48.75,2187.24,77.1,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
25.15,68.71,21.43,128.7,1755.42,74.31,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.9,34.83,3.51,33.34,1241.14,63.0,REST_RECOMMENDED,REST_RECOMMENDED
23.02,38.41,16.96,60.19,347.93,39.81,CAUTION,REST_RECOMMENDED
28.84,77.68,3.02,58.66,951.89,74.56,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
18.02,59.67,10.51,110.08,761.23,28.15,LOW,MOVABLE
27.91,88.65,39.55,98.05,1835.46,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.99,115.17,21.44,101.75,793.55,62.09,REST_RECOMMENDED,REST_RECOMMENDED
19.28,48.93,17.97,115.08,998.07,28.79,LOW,MOVABLE
25.69,11.42,12.57,61.04,374.38,47.11,CAUTION,REST_RECOMMENDED
18.39,124.81,17.79,112.51,1213.35,40.06,CAUTION,REST_RECOMMENDED
24.2,132.82,21.58,73.31,172.01,60.78,REST_RECOMMENDED,REST_RECOMMENDED
27.48,97.88,41.83,61.51,621.66,81.6,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
30.47,43.79,40.62,88.34,229.8,72.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.2,35.46,37.34,98.2,1384.08,83.68,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
22.15,62.81,16.01,38.8,538.72,33.92,CAUTION,MOVABLE
23.99,64.35,27.61,77.52,1366.57,56.14,REST_RECOMMENDED,REST_RECOMMENDED
18.0,120.22,23.27,33.15,808.52,38.61,CAUTION,MOVABLE
24.34,81.05,16.51,85.44,59.63,50.0,REST_RECOMMENDED,REST_RECOMMENDED
25.8,51.82,23.08,107.62,1419.3,68.09,REST_RECOMMENDED,REST_RECOMMENDED
31.74,119.64,26.54,146.22,859.71,99.34,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
25.25,33.93,8.83,54.68,100.27,48.1,CAUTION,REST_RECOMMENDED
21.3,122.56,33.12,74.92,294.56,55.56,REST_RECOMMENDED,REST_RECOMMENDED
27.46,58.14,24.9,9.87,754.29,50.0,REST_RECOMMENDED,REST_RECOMMENDED
24.0,139.31,25.7,56.62,1498.24,63.96,REST_RECOMMENDED,REST_RECOMMENDED
28.85,35.24,35.79,46.68,837.82,76.07,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.07,51.22,35.73,41.47,488.67,49.09,CAUTION,REST_RECOMMENDED
25.55,81.69,32.21,43.84,1636.39,73.1,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.91,118.5,28.13,39.22,707.93,55.63,REST_RECOMMENDED,REST_RECOMMENDED
25.62,44.52,54.49,105.98,1124.06,70.14,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.67,21.25,27.34,152.18,34.44,39.0,CAUTION,MOVABLE
28.06,77.75,38.38,75.21,906.09,88.48,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
18.57,20.53,32.08,48.72,811.34,21.7,LOW,MOVABLE
24.53,28.27,43.3,47.14,1254.6,40.36,CAUTION,REST_RECOMMENDED
25.34,116.57,2.66,61.22,270.96,66.53,REST_RECOMMENDED,REST_RECOMMENDED
32.91,124.77,15.57,99.33,536.84,90.75,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
29.83,33.69,1.99,127.58,995.05,71.77,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.7,33.57,32.47,168.68,521.95,52.0,REST_RECOMMENDED,REST_RECOMMENDED
32.64,42.89,24.27,9.55,602.79,66.04,REST_RECOMMENDED,REST_RECOMMENDED
26.45,134.82,3.45,105.58,1082.11,75.87,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
29.43,92.3,40.32,58.2,1089.38,91.02,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
30.26,53.31,25.63,16.86,344.68,64.0,REST_RECOMMENDED,REST_RECOMMENDED
33.0,123.44,20.23,66.86,499.9,91.32,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
26.3,114.43,27.23,70.72,1935.99,76.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
31.98,47.95,20.77,86.9,1012.48,77.73,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
21.53,156.11,6.01,110.66,1564.36,47.02,CAUTION,REST_RECOMMENDED
30.68,41.67,51.39,103.95,1350.23,82.21,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.58,71.37,45.49,148.76,1980.4,74.27,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.02,63.34,1.72,30.8,993.05,57.54,REST_RECOMMENDED,REST_RECOMMENDED
23.2,117.8,14.81,63.6,251.8,57.97,REST_RECOMMENDED,REST_RECOMMENDED
32.1,46.2,44.62,35.64,1715.26,73.23,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.21,131.13,20.17,64.99,847.06,93.14,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
27.09,9.44,41.28,111.5,489.8,58.82,REST_RECOMMENDED,REST_RECOMMENDED
25.25,82.09,46.74,93.55,1393.17,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
17.07,100.78,35.16,84.98,381.38,47.05,CAUTION,REST_RECOMMENDED
30.69,94.21,20.39,95.71,906.2,96.76,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.45,48.96,19.77,128.7,748.8,26.16,LOW,MOVABLE
31.35,37.1,52.17,49.45,577.99,75.34,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
30.52,58.4,25.2,33.46,246.54,68.0,REST_RECOMMENDED,REST_RECOMMENDED
27.64,106.72,48.35,90.7,2106.32,87.42,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.17,75.52,32.46,63.47,1038.56,39.66,CAUTION,REST_RECOMMENDED
19.53,97.84,45.59,76.1,1419.21,46.09,CAUTION,REST_RECOMMENDED
26.59,60.0,21.14,82.19,952.84,66.97,REST_RECOMMENDED,REST_RECOMMENDED
26.51,60.38,19.8,65.27,1134.61,64.13,REST_RECOMMENDED,REST_RECOMMENDED
17.97,30.28,4.24,87.19,358.06,14.0,LOW,MOVABLE
25.74,129.58,15.33,56.86,1561.8,72.98,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
18.58,127.05,2.62,53.83,959.34,35.5,CAUTION,MOVABLE
22.4,154.94,7.6,73.63,65.35,42.13,CAUTION,REST_RECOMMENDED
26.64,118.95,23.36,24.03,555.69,72.77,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
18.34,55.33,4.59,16.29,474.76,7.29,LOW,MOVABLE
20.71,86.35,22.56,92.54,214.97,39.97,CAUTION,REST_RECOMMENDED
23.53,64.19,12.89,159.83,1836.5,60.54,REST_RECOMMENDED,REST_RECOMMENDED
27.29,113.1,37.69,144.07,598.6,80.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.86,35.87,8.22,35.49,1140.6,34.6,CAUTION,MOVABLE
19.91,152.4,27.43,74.52,760.79,40.27,CAUTION,REST_RECOMMENDED
25.5,129.44,29.96,121.87,228.14,78.05,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
27.28,82.1,25.98,66.75,836.02,71.86,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
21.56,83.66,42.37,34.19,1115.44,46.67,CAUTION,REST_RECOMMENDED
25.76,65.45,27.41,26.35,918.18,59.0,REST_RECOMMENDED,REST_RECOMMENDED
33.31,90.56,38.74,50.98,180.68,86.97,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
20.38,95.38,24.99,165.39,1136.62,47.93,CAUTION,REST_RECOMMENDED
29.24,57.85,17.24,85.96,1007.43,78.14,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
33.91,37.55,31.71,58.18,873.5,71.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
21.18,66.92,21.97,91.29,1084.01,48.43,CAUTION,REST_RECOMMENDED
20.82,86.7,13.51,112.8,304.96,29.0,LOW,MOVABLE
30.43,64.36,39.41,107.81,1023.91,92.66,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
21.31,71.74,22.32,117.88,672.02,45.18,CAUTION,REST_RECOMMENDED
20.93,54.68,12.2,70.23,377.64,18.77,LOW,MOVABLE
22.51,24.88,34.4,31.57,1010.09,25.0,LOW,MOVABLE
